iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
47,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,2,0,-11.328,0.217932,1.08688,0.868985,114.07
47,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,3,0,-0.473324,0.88362,0.129893,0.129314,10.1256
48,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,1,0,-8.55179,0.660197,9.63903,0.418672,112.988
48,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,2,0,0.595974,0.924222,0.407716,0.0933662,111.253
48,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,3,0,0.0219453,0.199717,0.986988,0.986031,9.99107
49,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,1,0,1,1,1.20379e-30,-2.98317e-16,238.753
49,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,2,0,1,1,4.71139e-27,-3.09031e-16,234.199
49,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,3,0,1,1,1.65002e-18,-5.0576e-16,9.64228
50,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,1,0,1,1,2.51402e-27,-5.44197e-16,215.337
50,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,2,0,1,1,5.63848e-30,2.19512e-17,212.997
50,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,3,0,1,1,5.00968e-17,5.66908e-17,9.56135
51,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,1,0,1,1,9.26603e-33,-1.7164e-16,234.999
51,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,2,0,1,1,7.71053e-31,-2.44586e-16,239.138
51,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,3,0,1,1,2.53387e-18,9.59788e-17,10.4148
52,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,1,0,1,1,2.07611e-31,-2.58904e-16,211.175
52,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,2,0,1,1,1.9398e-33,-1.33782e-17,221.231
52,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,3,0,1,1,1.15631e-19,3.7724e-16,10.0329
53,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,0,1,0,1,1,4.23105e-32,2.4795e-16,150.082
53,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,0,2,0,1,1,2.14959e-31,-2.33764e-16,155.301
53,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,0,3,0,-0.586778,0.993115,0.00739155,0.00735393,13.6246
54,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,1,1,0,1,1,1.37774e-28,1.8389e-16,163.595
54,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,1,2,0,1,1,3.49211e-31,-9.16006e-16,152.576
54,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,1,1,3,0,0.882439,0.988078,0.0123659,0.0114313,15.6154
55,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,0,0,1,0,1,1,1.69185e-33,7.8081e-17,166.393
55,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,0,0,2,0,1,1,6.77574e-32,-5.86853e-17,167.461
55,100,0.1,0.2,100,1,500,4,1,0,0.1,2.5,0,0,3,0,0.940129,0.995692,0.00468893,0.00439241,13.1951
