iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
278,50,0.01,0.5,50,1,100,10,2,0.8,0,1,0,0,5.81612,14.1746
279,50,0.01,0.5,50,1,100,10,2,0.8,0,10,1,0,6.07296,14.8658
280,50,0.01,0.5,50,1,100,10,2,0.8,0,10,0,0,5.67236,13.5836
281,50,0.01,0.5,50,1,100,10,2,0.8,0.3,1,1,0,6.65285,14.8534
282,50,0.01,0.5,50,1,100,10,2,0.8,0.3,1,0,0,6.68685,14.8828
283,50,0.01,0.5,50,1,100,10,2,0.8,0.3,10,1,0,141.423,20.8913
284,50,0.01,0.5,50,1,100,10,2,0.8,0.3,10,0,0,59.9755,19.2154
285,50,0.01,0.5,50,1,100,10,2,0.8,0.5,1,1,0,9.84635,15.7471
286,50,0.01,0.5,50,1,100,10,2,0.8,0.5,1,0,0,7.26673,16.7864
287,50,0.01,0.5,50,1,100,10,2,0.8,0.5,10,1,0,250.809,22.079
288,50,0.01,0.5,50,1,100,10,2,0.8,0.5,10,0,0,100.662,19.8934
289,50,0.01,0.5,50,1,100,10,5,0.01,0,1,1,0,0.000738503,0.865784
290,50,0.01,0.5,50,1,100,10,5,0.01,0,1,0,0,0.00114197,0.939291
291,50,0.01,0.5,50,1,100,10,5,0.01,0,10,1,0,0.00102496,0.872304
292,50,0.01,0.5,50,1,100,10,5,0.01,0,10,0,0,0.000989156,0.887983
293,50,0.01,0.5,50,1,100,10,5,0.01,0.3,1,1,0,2.1293,17.1983
294,50,0.01,0.5,50,1,100,10,5,0.01,0.3,1,0,0,0.858904,18.2144
295,50,0.01,0.5,50,1,100,10,5,0.01,0.3,10,1,0,34.3802,20.7863
