iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,2,0,0.0999662,0.914397,0.100646,0.0966828,-0.0495059,0.228125,3.40211,3.26815,7.30482
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,3,0,-0.615585,0.843047,0.180662,0.177268,0.013153,0.258651,3.19899,3.13891,1.65972
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,1,0,-11913.4,0.201033,3078,1.01413,-2876.07,0.505331,3381.98,1.11429,6.52802
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,2,0,-37.134,0.0633692,9.8516,1.18887,-6.83668,0.506489,9.21198,1.11168,8.73272
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,3,0,0.183395,0.834584,0.210963,0.209962,-0.00459512,0.478247,1.1809,1.1753,1.38157
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,1,0,0.654327,0.931991,0.0865027,0.0704691,-0.258159,0.464082,1.39753,1.13849,17.7641
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,2,0,0.659451,0.932224,0.0852204,0.070227,-0.244274,0.463871,1.38211,1.13894,20.8913
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,3,0,-0.0430967,0.748125,0.261029,0.260985,0.00120164,0.477847,1.10944,1.10925,11.7252
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,1,0,0.654689,0.969062,0.19572,0.0937822,0.654689,0.969062,0.19572,0.0937822,105.795
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,2,0,-16.6612,0.654769,10.0102,1.0465,-16.6612,0.654769,10.0102,1.0465,49.6161
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,3,0,1,1,2.43059e-26,-4.49391e-16,1,1,2.43059e-26,-4.49391e-16,2.22605
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,1,0,-329.76,0.696023,178.994,0.851844,-329.76,0.696023,178.994,0.851844,41.79
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,2,0,-0.653813,0.723439,0.894977,0.775014,-0.653813,0.723439,0.894977,0.775014,36.3823
